date,open,high,low,close,volume,sma_20,sma_50,rsi,sentiment_score
2020-03-13,7.383793725251247,7.41813691760471,6.868645021143005,7.194905757904053,35410600,8.790579247474671,9.091512155532836,20.539358343596888,0.0
2020-03-16,6.3105676422603345,6.757029560109147,6.216123656926022,6.327739238739014,19661600,8.634317445755006,9.041371002197266,17.584312784674864,0.0
2020-03-17,6.353497709752071,6.808545283563552,6.113094916668173,6.757030487060547,20011000,8.490934371948242,8.999472217559815,24.386228927411338,0.0
2020-03-18,6.095923148503657,6.465113127291458,6.0787515501463085,6.310568332672119,25345100,8.321364665031433,8.950361375808717,23.839967029161656,0.0
2020-03-19,6.284812104347578,6.310569301134876,6.035823685252968,6.1216816902160645,13834300,8.139774942398072,8.899361686706543,25.168895734811016,0.0
2020-03-20,6.439356139295539,6.490870939281514,5.889864530041892,5.958550930023193,22880400,7.947882151603698,8.845271100997925,20.618529942417126,0.0
2020-03-23,5.941378821417595,6.173195606211486,5.8040060332147565,6.113094806671143,26046500,7.771873044967651,8.78757448196411,23.58970542037484,0.0
2020-03-24,6.722688675150018,6.920162716555312,6.44794303716692,6.645416259765625,20455100,7.631065797805786,8.737605094909668,28.019332182748713,0.0
2020-03-25,6.662586787293032,7.194906751701635,6.593899983695583,7.031775951385498,22259700,7.510435223579407,8.691413431167602,34.651886094996286,0.0
2020-03-26,7.297936306505464,7.838842272185578,7.22924991265463,7.813085079193115,29555000,7.445183038711548,8.66119140625,45.05814321907305,0.0
2020-03-27,7.426722180826892,7.581266957469521,7.255006217227472,7.306521415710449,23759500,7.378213691711426,8.62100980758667,45.79024330418211,0.0
2020-03-30,7.220664113841524,7.426723301247617,7.169149726393213,7.289350509643555,13054500,7.2979363918304445,8.580484790802002,44.76048179252239,0.0
2020-03-31,7.2807651669940165,7.315109186821941,6.997433553865639,7.048948764801025,20571700,7.212078309059143,8.534636583328247,44.82758247432165,0.0
2020-04-01,6.75703005703463,6.885817654200752,6.6625864741579015,6.679758071899414,15617300,7.096599221229553,8.481919717788696,47.839995564081434,0.0
2020-04-02,6.6969301401931105,6.885818138024936,6.645414933945731,6.7913737297058105,7323600,7.001296758651733,8.428172569274903,46.11571182605075,0.0
2020-04-03,6.69693105435121,6.7055166502956,6.405013422983117,6.490871429443359,15539600,6.9059943675994875,8.368071899414062,51.762543282677804,0.0
2020-04-06,6.748444682226556,7.109048246519898,6.696929887327507,7.083291053771973,16003400,6.870363259315491,8.320334796905518,53.40501831356,0.0
2020-04-07,7.4438941071682345,7.529752497455039,7.169148568340528,7.194905757904053,15033000,6.835590720176697,8.275516862869262,59.922927554426586,0.0
2020-04-08,7.220664187534404,7.3151085968309,7.031776187747847,7.280764579772949,13721300,6.817560458183289,8.230527181625366,63.3136007818678,0.0
2020-04-09,7.340865492194609,7.45248108667317,7.272179098485709,7.315108299255371,9988000,6.837737107276917,8.186911249160767,66.05691297816878,0.0
2020-04-13,7.297937393188477,7.340866600439126,7.143392574608751,7.297937393188477,5684500,6.842888689041137,8.142951898574829,64.49581721792458,0.0
2020-04-14,7.3752094163208906,7.503996212523186,7.280765001553159,7.4438958168029785,7582100,6.898696517944336,8.103628902435302,60.788864693615814,0.0
2020-04-15,7.10904833805892,7.263593134149247,7.083291144979334,7.1519775390625,8004400,6.918443870544434,8.05881097793579,51.666670854043765,0.0
2020-04-16,7.126220133027904,7.143391321632361,6.945918149246011,7.0575337409973145,9811400,6.9557921409606935,8.009356679916381,37.058812959922896,0.0
2020-04-17,7.255007796307092,7.375209406392168,7.203493405418118,7.366623401641846,14965900,7.018039226531982,7.967114524841309,51.10412614840314,0.0
2020-04-20,7.272178222990566,7.4954085662666605,7.160562641949367,7.306521415710449,9658400,7.085437750816345,7.925044040679932,50.31054615072829,0.0
2020-04-21,6.954504271225949,7.237835847872316,6.954504271225949,7.083291053771973,9776700,7.133947563171387,7.880397834777832,50.62498275290233,0.0
2020-04-22,7.194907285670506,7.375209288513085,7.160564086024609,7.3408660888671875,9961600,7.168720054626465,7.839701080322266,62.5407307547862,0.0
2020-04-23,7.632783956191869,7.718641548838472,7.5125823439188295,7.5469255447387695,11386000,7.194477534294128,7.802610378265381,63.83649034453888,0.0
2020-04-24,7.49540926723627,7.5640964779059585,7.383794494563176,7.521167278289795,7976800,7.179881644248963,7.760368185043335,70.97898166612197,0.0
2020-04-27,7.624196978492364,7.6842973675572575,7.546924581805278,7.667126178741455,5505300,7.197911882400513,7.723105735778809,64.5298955629379,0.0
